id,title,type,release_year,age_certification,runtime,seasons,imdb_score,imdb_votes,country,genre
ts188031,Pink Zone,Show,2007,Others,15,1,6.1,47,US,"Drama, Romance, Comedy"
tm91176,Ijé: The Journey,Movie,2010,Others,106,0,7,108,"NG, US",Drama
tm88343,Perazhagan,Movie,2004,Others,148,0,6.4,1496,IN,"Thriller, Comedy, Drama, Romance"
tm340006,Banyuki,Movie,2010,Others,182,0,7.4,15,JP,Drama
ts6506,The Borgias,Show,2011,TV-MA,51,3,7.9,50556,"CA, HU, US","Drama, History, Romance, Crime"
ts34737,La Reina Del Sur,Show,2011,TV-MA,42,2,8,2445,MX,"Drama, Action, Crime, Thriller"
ts21081,Pablo Escobar: The Drug Lord,Show,2012,TV-14,44,1,8.4,4923,CO,"Crime, Drama, History, Thriller"
tm38064,Berserk: The Golden Age Arc Ii - The Battle For Doldrey,Movie,2012,R,80,0,7.7,10257,JP,"Fantasy, Drama, Horror, Animation, Action"
tm34331,Middle Of Nowhere,Movie,2012,R,101,0,6.5,1818,US,Drama
tm47171,Omg: Oh My God!,Movie,2012,G,125,0,8.1,57449,IN,"Fantasy, Drama, Comedy"
tm65765,6 Bullets,Movie,2012,R,115,0,6,14898,US,"Thriller, Drama, Action, Crime"
tm70528,Material,Movie,2012,Others,94,0,7.3,950,ZA,"Comedy, Drama"
ts69208,"Love, Now",Show,2012,TV-Y,45,1,7.6,116,TW,"Drama, Comedy"
tm69915,Heroine,Movie,2012,Others,140,0,5,4312,IN,Drama
tm29400,Bwakaw,Movie,2012,Others,104,0,7.1,296,PH,"Drama, Comedy"
tm153284,The Giver,Movie,2014,PG-13,97,0,6.4,118117,US,"Drama, Scifi, Romance, Thriller"
tm151807,Creep,Movie,2014,R,77,0,6.3,52233,US,"Horror, Thriller"
ts11794,The Cat In The Hat Knows A Lot About That!,Show,2013,TV-Y,19,3,6.4,620,"US, GB, CA","Animation, Fantasy, Scifi, Comedy, Family"
tm151447,The November Man,Movie,2014,R,108,0,6.3,67243,"GB, US","Crime, Action, Thriller"
ts53641,Lalaloopsy,Show,2013,TV-Y,23,3,6.4,104,US,Animation
tm176481,Chennai Express,Movie,2013,PG-13,141,0,6.1,53293,IN,"Romance, Comedy, Drama, Action"
tm152904,Tom Segura: Completely Normal,Movie,2014,Others,74,0,7.7,2570,US,"Comedy, Documentation"
tm35895,Buddies,Movie,2013,Others,94,0,6.6,1076,BR,"Drama, Comedy, Documentation, European"
tm148457,Hasee Toh Phasee,Movie,2014,PG-13,141,0,6.8,14916,IN,"Comedy, Romance"
tm145627,Pizza,Movie,2014,Others,107,0,6.2,1285,IN,"Horror, Thriller"
tm158302,Ankhon Dekhi,Movie,2014,Others,104,0,8,11330,IN,"Drama, Comedy"
tm182580,Ghadi,Movie,2013,PG-13,100,0,7.3,1128,LB,"Drama, Comedy, Family"
tm197423,October 1,Movie,2014,PG-13,149,0,6.4,424,NG,Thriller
tm167342,Satyagraha,Movie,2013,PG,152,0,5.9,5127,IN,"Drama, Documentation"
tm157681,Eyes Of A Thief,Movie,2014,Others,98,0,6.6,443,PS,Drama
tm162259,Mars At Sunrise,Movie,2014,Others,75,0,7.8,43,US,Drama
tm169054,Bhaji In Problem,Movie,2013,Others,130,0,7.3,1007,IN,"Romance, Comedy"
tm190788,The Exorcist,Movie,1973,R,133,0,8.1,391942,US,Horror
ts35577,God Eater,Show,2015,TV-14,23,1,7,1911,JP,"Scifi, Animation, Action"
tm235405,Hyena Road,Movie,2015,R,120,0,6.5,7665,CA,"Thriller, Action, Drama, War"
ts11670,The Adventures Of Puss In Boots,Show,2015,TV-Y7,23,6,6.6,1696,US,"Family, Animation, Comedy, Fantasy, Western, Action"
tm233544,Marco Polo: One Hundred Eyes,Movie,2015,Others,28,0,7.8,10742,US,"Action, History, Drama"
tm253080,Rocco,Movie,2016,Others,105,0,5.7,3972,FR,"Documentation, European"
tm241314,Minimalism: A Documentary About The Important Things,Movie,2015,Others,79,0,6.7,15656,US,Documentation
ts52988,Captive,Show,2016,Others,63,1,6.8,724,US,"Documentation, Drama, European"
tm242002,Jeff Foxworthy & Larry The Cable Guy: We'Ve Been Thinking,Movie,2016,Others,74,0,5.6,614,US,Comedy
ts38772,Dear My Friends,Show,2016,TV-MA,70,1,8.2,355,KR,"Drama, Comedy"
ts83224,Toon,Show,2016,TV-MA,27,2,7.6,890,NL,Comedy
ts53149,White Nights,Show,2016,Others,62,1,6.9,287,KR,Drama
tm221883,Gridlocked,Movie,2016,R,114,0,5.8,4570,CA,Action
ts55556,A Touch Of Green,Show,2015,TV-MA,46,1,8.4,314,TW,"Family, Drama, War"
tm149212,Olmo And The Seagull,Movie,2015,Others,90,0,7.2,674,"FR, PT, SE, DK, BR","Drama, European, Romance, Family, Documentation"
tm239933,7:19,Movie,2016,Others,94,0,5.9,644,MX,"Thriller, Drama, History"
tm327551,Born In Syria,Movie,2016,Others,86,0,7.7,279,"ES, DK","Documentation, European"
tm234069,Wedding Association 2: Circumcision,Movie,2015,PG-13,107,0,6.4,10261,TR,Comedy
tm271839,"Dana Carvey: Straight White Male, 60",Movie,2016,Others,64,0,6.4,1483,US,Comedy
tm232710,A Second Chance,Movie,2015,Others,130,0,8.6,47,PH,"Romance, Drama, Family, Sport, Documentation"
tm234703,Soul Thieves,Movie,2015,Others,88,0,5,275,MX,Horror
tm134052,Umrika,Movie,2015,Others,98,0,6.6,1463,IN,"Drama, Comedy"
tm207734,Chris D'Elia: Incorrigible,Movie,2015,R,83,0,6.4,1535,US,"Comedy, Documentation"
tm407961,Gbomo Gbomo Express,Movie,2015,Others,97,0,5,50,NG,"Drama, Crime"
tm247396,Virunga: Gorillas In Peril,Movie,2015,Others,28,0,6.6,32,US,Documentation
tm225416,Janoskians: Untold And Untrue,Movie,2015,Others,88,0,3.7,160,US,Comedy
tm282988,Dieter Nuhr: Nuhr In Berlin,Movie,2016,Others,68,0,4.8,67,DE,"Comedy, European"
ts113109,Numberblocks,Show,2017,TV-Y,5,5,8.6,198,GB,Animation
tm245937,Win It All,Movie,2017,Others,88,0,6.2,9108,US,Comedy
ts56670,Hot Girls Wanted: Turned On,Show,2017,TV-MA,47,1,6.6,2168,US,Documentation
ts86949,The A List,Show,2018,TV-PG,27,2,5.5,2787,GB,"Drama, Crime, Thriller"
tm409618,Alex Strangelove,Movie,2018,R,99,0,6.3,17305,US,"Drama, Comedy, Romance"
ts57148,Champions,Show,2018,TV-PG,21,1,6.1,3736,US,Comedy
ts83359,100 Days My Prince,Show,2018,TV-14,75,1,7.8,1938,KR,"Drama, Thriller, Comedy, History, Romance, Action"
tm311319,Manhunt,Movie,2017,Others,106,0,5.2,3210,"HK, CN","Thriller, Action, Crime"
ts79856,Swordgai The Animation,Show,2018,TV-MA,22,2,5.8,907,JP,"Scifi, Animation, Action, Fantasy, Horror"
ts76509,Beyond Stranger Things,Show,2017,TV-14,21,1,7.4,1883,US,Documentation
tm344336,Burn Out,Movie,2018,Others,107,0,6.2,3718,FR,"Thriller, Crime, Action, European"
tm372054,The Tribe,Movie,2018,Others,90,0,5.8,2627,ES,"Comedy, Family, European"
ts80479,Clean With Passion For Now,Show,2018,TV-MA,69,1,7,1246,KR,"Comedy, Drama, Romance"
tm427143,Edge Of Fear,Movie,2018,R,91,0,4.5,3124,US,"Thriller, Crime, Action"
tm375962,Nothing To Lose,Movie,2018,PG,130,0,2.3,23016,BR,Drama
ts90869,Love Daily,Show,2018,Others,18,1,6.2,153,US,"Drama, Romance"
tm299783,The Laws Of Thermodynamics,Movie,2018,Others,100,0,6,2726,ES,"Romance, Comedy, European"
ts85183,Vai Anitta,Show,2018,TV-MA,40,2,5.6,448,BR,"Documentation, Reality"
ts84484,Dancing Queen,Show,2018,Others,41,1,6.9,1590,US,"Reality, Music"
tm311898,Small Crimes,Movie,2017,Others,95,0,5.8,7948,"CA, US","Crime, Drama, Thriller"
tm233345,Love Beats Rhymes,Movie,2017,R,105,0,5.4,1057,US,Drama
tm283559,The Art Of Loving: Story Of Michalina Wislocka,Movie,2017,Others,121,0,7.1,3690,PL,"Drama, Comedy, Romance, European"
tm447328,Remastered: Who Killed Jam Master Jay?,Movie,2018,Others,58,0,6.5,768,US,"Music, Documentation"
tm283322,Burning Sands,Movie,2017,Others,105,0,6,2828,US,"Drama, Thriller, Action"
ts76540,Dennis & Gnasher Unleashed!,Show,2017,TV-Y7,13,2,7.3,82,GB,"Animation, Comedy"
tm362264,The Gift,Movie,2017,Others,85,0,8.1,20,TZ,Drama
tm412489,Dear Son,Movie,2018,Others,100,0,6.5,388,"QA, TN, BE, FR",Drama
tm361588,Mission Kathmandu: The Adventures Of Nelly & Simon,Movie,2017,Others,84,0,5.1,434,CA,"Animation, Comedy"
tm446574,Love Jacked,Movie,2018,PG-13,100,0,5.9,2142,"CA, ZA, US","Comedy, Romance"
ts82631,Monkey Twins,Show,2018,Others,53,1,7.9,92,TH,"Crime, Action"
tm337040,Maz Jobrani: Immigrant,Movie,2017,Others,67,0,6.7,840,US,"Comedy, Documentation"
tm316923,Kartini: Princess Of Java,Movie,2017,Others,118,0,7.6,511,ID,"Drama, Family, History, European"
ts82887,The Could'Ve-Gone-All-The-Way Committee,Show,2018,TV-14,24,1,6.8,102,JP,"Comedy, Drama"
tm360945,Soorma,Movie,2018,PG-13,131,0,7.4,5103,IN,"Drama, Sport"
tm299790,Cristela Alonzo: Lower Classy,Movie,2017,Others,66,0,6.4,845,US,Comedy
tm361505,48 Christmas Wishes,Movie,2017,Others,84,0,3.9,1103,CA,"Family, Fantasy, Comedy"
tm443537,Ani... Dr. Kashinath Ghanekar,Movie,2018,Others,159,0,8.5,1071,IN,Drama
tm311902,Jim Norton: Mouthful Of Shame,Movie,2017,Others,61,0,7,1324,US,Comedy
tm368350,Jonaki,Movie,2018,Others,96,0,6.8,251,"FR, IN, SG","Fantasy, Drama, European"
tm431081,Lionheart,Movie,2018,Others,95,0,5.7,1444,NG,"Drama, Comedy"
tm442805,My Travel Buddy 2,Movie,2018,PG-13,116,0,5.8,3217,TR,Comedy
tm408781,Teefa In Trouble,Movie,2018,PG-13,155,0,7.3,3569,PK,"Drama, Comedy, Crime, Romance, Action"
tm345960,Alan Saldaña: Mi Vida De Pobre,Movie,2017,Others,53,0,6.3,68,MX,Comedy
tm319127,Vir Das: Abroad Understanding,Movie,2017,Others,65,0,6.9,1697,"US, IN",Comedy
tm430666,Hantu Kak Limah,Movie,2018,Others,111,0,5.6,677,MY,"Horror, Comedy"
tm431214,Back To Q82,Movie,2017,Others,105,0,6,94,KW,"Scifi, Action, Comedy"
tm369315,Garbage,Movie,2018,Others,105,0,3.4,1004,IN,"Thriller, Drama"
ts54112,Life Plan A And B,Show,2017,TV-PG,80,1,7.8,106,TW,Drama
tm411649,Thug Life,Movie,2017,Others,134,0,5.7,48,IN,"Comedy, Drama"
tm350945,Posesif,Movie,2017,Others,102,0,7.4,920,ID,"Drama, Comedy, Romance"
tm244310,Merku Thodarchi Malai,Movie,2018,Others,122,0,8.6,1810,IN,Drama
tm370781,Natalia Valdebenito: El Especial,Movie,2018,Others,76,0,5.1,82,CL,Comedy
ts85660,The Sound Of Your Heart: Reboot,Show,2018,Others,34,2,5.9,134,KR,Comedy
tm367613,Mr. Chandramouli,Movie,2018,Others,122,0,5.1,234,IN,"Romance, Sport, Comedy"
tm369452,Sebastián Marcelo Wainraich,Movie,2018,Others,49,0,6.4,105,AR,Comedy
tm445852,Three Words To Forever,Movie,2018,Others,106,0,6.8,109,XX,"Drama, Romance, Comedy, Family"
tm512751,In Line,Movie,2017,Others,115,0,6.1,34,NG,Drama
tm368697,Unexpectedly Yours,Movie,2017,Others,120,0,6.8,178,PH,"Romance, Comedy"
tm452767,Next Enti?,Movie,2018,Others,157,0,4.6,159,XX,"Drama, Romance, Comedy"
tm368006,Harith Iskander: I Told You So,Movie,2018,Others,61,0,4.6,172,US,Comedy
tm430281,Dhh,Movie,2018,R,128,0,7.9,320,IN,"Drama, Family"
tm426260,Si Doel The Movie,Movie,2018,Others,85,0,6.9,415,ID,"Drama, Comedy, Romance"
tm1146751,Bahasha,Movie,2018,Others,85,0,7,23,TZ,Drama
ts284800,Criminal: Uk,Show,2019,TV-MA,44,2,7.6,17992,GB,"Drama, Thriller, Crime"
ts235758,Never Have I Ever,Show,2020,TV-14,28,4,7.8,45346,US,"Drama, Comedy"
ts88577,Hollywood,Show,2020,TV-MA,50,1,7.5,35067,US,"Drama, History"
ts84661,Cursed,Show,2020,TV-MA,55,1,5.8,29446,US,"Scifi, Action, Drama, Fantasy"
tm916405,The Outpost,Movie,2020,R,123,0,6.8,31819,"US, BG","Drama, Action, History, War"
tm455636,The Dirt,Movie,2019,R,108,0,6.9,47603,US,"Drama, Music, Comedy"
tm927480,Kiss The Ground,Movie,2020,Others,84,0,8.2,6607,US,Documentation
ts219080,Caliphate,Show,2020,TV-MA,48,1,8.2,17735,SE,"War, Crime, Drama, Thriller"
ts250997,Down To Earth With Zac Efron,Show,2020,TV-PG,39,1,8,6446,US,"Documentation, History, Reality"
tm423666,The Wandering Earth,Movie,2019,PG-13,126,0,5.9,29840,CN,"Scifi, Drama, Action, Thriller"
ts268608,The Ripper,Show,2020,TV-MA,49,1,7.1,9228,GB,"Crime, Documentation"
tm471878,Fatima,Movie,2020,PG-13,113,0,6.6,3032,"PT, US","Drama, War"
tm469991,I Lost My Body,Movie,2019,Others,81,0,7.5,31531,FR,"Fantasy, Drama, Animation, Romance, European"
ts105825,The Valhalla Murders,Show,2019,TV-MA,46,1,7.1,13038,IS,"Thriller, Crime, Drama, Scifi"
tm911973,Enola Holmes,Movie,2020,PG-13,123,0,6.6,160806,US,"Crime, Drama, Action"
tm362198,Scary Stories To Tell In The Dark,Movie,2019,PG-13,108,0,6.2,73859,"CA, CN, US","Horror, Thriller"
tm244207,Triple Frontier,Movie,2019,R,125,0,6.4,124218,US,"Thriller, Action, Crime, Drama"
ts87008,Turn Up Charlie,Show,2019,TV-MA,26,1,7.1,7251,GB,"Drama, Comedy, Music"
ts89119,The Disappearance Of Madeleine Mccann,Show,2019,TV-14,59,1,6.6,10286,GB,"Crime, Documentation"
ts242820,Floor Is Lava,Show,2020,TV-Y7,30,2,5.3,2135,US,Reality
tm465724,See You Yesterday,Movie,2019,Others,87,0,5.2,10663,US,"Drama, Action, Crime, Scifi, Thriller"
ts83107,V Wars,Show,2019,TV-MA,42,1,6.1,13531,US,"Scifi, Drama, Horror"
ts216493,The Naked Director,Show,2019,TV-MA,51,2,7.7,6052,JP,"Drama, Comedy"
ts251067,The Baby-Sitters Club,Show,2020,TV-G,27,2,7.3,3786,US,"Family, Comedy, Drama"
tm500565,Friendsgiving,Movie,2020,R,95,0,4.4,2782,US,"Comedy, Drama"
tm452826,Poms,Movie,2019,PG-13,91,0,6,6085,"US, GB","Comedy, Drama, Sport"
tm881162,Athlete A,Movie,2020,PG-13,104,0,7.6,10544,US,"Documentation, Crime, Sport"
tm471922,An Easy Girl,Movie,2019,Others,92,0,5.6,4911,FR,"Comedy, Drama, European"
tm877456,9to5: The Story Of A Movement,Movie,2020,Others,89,0,7.4,228,US,"Documentation, History"
tm818502,"Live Twice, Love Once",Movie,2019,Others,101,0,7.2,6492,ES,"Comedy, Drama, European"
ts93482,The Last Kids On Earth,Show,2019,Others,58,4,7.3,1293,US,"Animation, Comedy, Family, Horror, Scifi"
ts216474,The Trial,Show,2019,TV-MA,50,1,7.2,3032,IT,"Crime, Thriller, Drama"
ts189405,Killer Ratings,Show,2019,TV-MA,50,1,7.6,1671,BR,"Documentation, Crime"
ts242244,Japan Sinks: 2020,Show,2020,TV-MA,26,1,6.4,2922,JP,"Action, Scifi, Animation, Drama"
ts236725,Lenox Hill,Show,2020,TV-MA,50,1,8.7,2276,US,Documentation
ts296153,Ashley Garcia: Genius In Love,Show,2020,TV-PG,30,3,6.8,1183,US,Comedy
ts111206,Fast & Furious Spy Racers,Show,2019,Others,26,6,5.7,1444,US,"Comedy, Crime, Drama, Family, Animation, Action"
tm864480,Unknown Origins,Movie,2020,Others,96,0,6.1,6732,"AR, ES","Thriller, Comedy, Action, Crime, Drama"
tm898262,Coven,Movie,2020,Others,92,0,6.4,4598,"AR, ES, FR","Drama, History, Thriller, Horror, Action"
tm824165,Falling Inn Love,Movie,2019,Others,98,0,5.6,19091,US,"Comedy, Romance"
tm465231,Nate Bargatze: The Tennessee Kid,Movie,2019,Others,60,0,7.6,1798,US,Comedy
ts249891,The Comey Rule,Show,2020,TV-MA,82,1,7.4,8598,US,"War, Drama"
ts286390,Merli: Dare To Know,Show,2019,TV-MA,48,2,7.6,1711,ES,"Drama, Comedy"
ts236531,Too Hot To Handle,Show,2020,TV-MA,42,3,4.6,12001,US,"Reality, Romance"
ts82912,Ratched,Show,2020,TV-MA,54,2,7.2,52731,US,"Crime, Drama, Thriller"
tm850404,The Night Clerk,Movie,2020,R,90,0,5.5,14600,US,"Thriller, Crime, Drama, Romance"
tm821143,Ma Rainey'S Black Bottom,Movie,2020,R,94,0,6.9,50275,US,"Music, Drama"
ts106141,The Chosen One,Show,2019,TV-MA,27,2,5.7,661,BR,"Thriller, Drama"
ts225430,Mystic Pop-Up Bar,Show,2020,Others,69,1,8,1977,KR,"Scifi, Comedy, Fantasy"
ts257301,Big Timber,Show,2020,Others,45,2,6.5,577,CA,Reality
tm836662,Go!,Movie,2020,Others,103,0,5.9,2723,AU,"Family, Sport"
ts214280,You Cannot Hide,Show,2019,TV-MA,45,1,6.4,1098,MX,"Action, Crime"
ts187443,The Minions Of Midas,Show,2020,TV-MA,53,1,6.6,4065,ES,"Crime, Drama, Thriller"
tm514494,Offering To The Storm,Movie,2020,Others,139,0,6.2,6215,"DE, ES","Crime, Thriller, European"
tm453903,Elisa & Marcela,Movie,2019,Others,118,0,6.6,4593,ES,"Romance, Drama, European"
tm843938,18 Presents,Movie,2020,Others,114,0,6.9,3739,IT,"Fantasy, Drama, European"
tm674099,Rose Island,Movie,2020,Others,117,0,7,20019,IT,"Drama, Comedy"
ts87320,Can You Hear Me?,Show,2019,TV-MA,22,3,7.6,688,CA,"Drama, Comedy"
ts269501,Break It All: The History Of Rock In Latin America,Show,2020,TV-MA,50,1,7.6,1215,AR,"Documentation, Music"
tm840224,Seth Meyers: Lobby Baby,Movie,2019,Others,61,0,7.4,2542,US,Comedy
tm453098,Svaha: The Sixth Finger,Movie,2019,Others,122,0,6.2,3762,KR,"Thriller, Crime, Horror"
tm848443,World Famous Lover,Movie,2020,Others,156,0,5,3130,IN,"Romance, Drama"
tm898773,Bulbbul,Movie,2020,Others,94,0,6.5,11654,IN,"Fantasy, Horror, Drama"
ts251119,Hook,Show,2020,TV-MA,43,1,6.5,25,TH,"Drama, Romance, Sport"
ts88821,I Hear You,Show,2019,TV-14,45,1,7.3,560,CN,"Drama, Comedy, Romance"
ts91034,Leila,Show,2019,TV-MA,46,1,4.7,8796,IN,"War, Scifi, Drama"
ts101060,Merry Happy Whatever,Show,2019,TV-PG,26,1,6.4,4542,US,Comedy
tm816038,Violet Evergarden: Eternity And The Auto Memories Doll,Movie,2019,Others,90,0,7.4,4503,JP,"Family, Animation, Drama, Fantasy"
tm925490,Ainu Mosir,Movie,2020,Others,84,0,6.6,231,"JP, US, CN",Drama
tm450095,37 Seconds,Movie,2019,Others,115,0,7.4,2647,JP,Drama
tm452867,Jo Pil-Ho: The Dawning Rage,Movie,2019,Others,127,0,6.3,2096,KR,"Drama, Thriller, Action, Crime"
tm450698,The Ruthless,Movie,2019,Others,107,0,6.2,6071,"FR, IT","Crime, Drama, European"
tm454156,In Family I Trust,Movie,2019,Others,94,0,6.2,3106,ES,"Comedy, Romance, European"
tm897418,Dna,Movie,2020,Others,90,0,6,1020,FR,"Drama, History"
tm857397,A Life Of Speed: The Juan Manuel Fangio Story,Movie,2020,Others,92,0,6.9,1854,AR,"Documentation, Sport"
tm475430,Super Me,Movie,2019,Others,102,0,5.8,1527,CN,"Fantasy, Scifi, Drama"
ts87372,Ultramarine Magmell,Show,2019,TV-14,24,1,6,610,JP,"Action, Fantasy, Animation"
tm428506,The Man Who Feels No Pain,Movie,2019,PG,136,0,7.3,7700,IN,"Action, Comedy"
tm464435,Grass Is Greener,Movie,2019,Others,97,0,7.1,1322,US,Documentation
tm832903,Airplane Mode,Movie,2020,Others,96,0,5.1,2567,BR,"Comedy, Drama, Romance"
tm910612,The Claus Family,Movie,2020,Others,96,0,5.5,1999,BE,"Comedy, Family, Fantasy"
tm885845,Murder To Mercy - The Cyntoia Brown Story,Movie,2020,Others,96,0,6.3,2693,US,Documentation
ts254817,A Perfect Crime,Show,2020,Others,43,1,7.3,1394,DE,"Crime, Documentation"
tm946604,What We Wanted,Movie,2020,Others,94,0,5.9,1773,AT,Drama
tm450375,Thackeray,Movie,2019,Others,139,0,5.3,3334,IN,"Drama, History, Action"
tm954303,Ni De Coña,Movie,2020,Others,90,0,2.8,377,"ES, CO","Comedy, European"
tm493511,The Sky Is Pink,Movie,2019,Others,143,0,7.5,8551,IN,"Drama, Romance, Family"
tm881891,Chris D'Elia: No Pain,Movie,2020,Others,55,0,5.9,1772,US,Comedy
tm460815,Luka Chuppi,Movie,2019,Others,126,0,6.3,11162,IN,"Romance, Drama, Comedy"
tm998899,The Fisherman'S Diary,Movie,2020,Others,142,0,6.4,616,CM,Drama
ts100354,Monzón: A Knockout Blow,Show,2019,TV-MA,45,1,7.9,717,AR,"Crime, Drama, History, Sport"
tm880059,All Day And A Night,Movie,2020,R,121,0,5.9,3627,US,Drama
ts221363,Criminal: Germany,Show,2019,TV-MA,44,1,7.7,5108,DE,"Drama, Crime"
ts256764,Heaven Official'S Blessing,Show,2020,TV-14,24,1,8.3,1349,"CN, US","Action, Scifi, Animation"
ts88471,Girls From Ipanema,Show,2019,TV-MA,57,2,7.8,3423,BR,"Drama, Romance"
tm497383,Sergio,Movie,2020,R,118,0,6.2,9619,"US, AL, JO, TH","Drama, History, Romance, Documentation"
tm878995,Dragons: Rescue Riders: Hunt For The Golden Dragon,Movie,2020,Others,46,0,5.2,153,US,"Action, Comedy, Family, Fantasy, Animation"
tm982100,"Ariana Grande: Excuse Me, I Love You",Movie,2020,Others,97,0,6.3,2540,US,"Music, Documentation"
tm483602,Malang,Movie,2020,Others,135,0,6.6,10149,IN,"Romance, Drama, Thriller, Action, Crime"
tm838705,Holiday Rush,Movie,2019,Others,94,0,4.9,2705,US,"Comedy, Drama, Romance, Family"
tm901947,Little Big Women,Movie,2020,Others,123,0,7.2,2253,TW,Drama
tm975398,Christmas Crossfire,Movie,2020,Others,105,0,4.8,1359,DE,"Thriller, Crime, Comedy"
tm470252,Calum Von Moger: Unbroken,Movie,2019,Others,93,0,6.3,828,US,Documentation
ts218307,Styling Hollywood,Show,2019,TV-14,37,1,6.6,355,US,Reality
ts222942,Narcoworld: Dope Stories,Show,2019,TV-MA,40,1,6.6,317,US,"Crime, Documentation"
